filename,width,height,class,xmin,ymin,xmax,ymax
rolled-in_scale_15.jpg,200,200,rolled-in_scale,26,47,95,114
patches_106,200,200,patches,75,67,108,139
crazing_116.jpg,200,200,crazing,121,13,174,69
crazing_116.jpg,200,200,crazing,19,113,134,186
inclusion_47.jpg,200,200,inclusion,103,11,136,198
inclusion_47.jpg,200,200,inclusion,139,1,172,181
inclusion_47.jpg,200,200,inclusion,99,1,122,47
rolled-in_scale_9.jpg,200,200,rolled-in_scale,74,42,174,102
scratches_161.jpg,200,200,scratches,40,1,57,137
scratches_161.jpg,200,200,scratches,131,27,160,200
rolled-in_scale_34.jpg,200,200,rolled-in_scale,43,18,91,70
inclusion_120.jpg,200,200,inclusion,22,60,60,198
inclusion_120.jpg,200,200,inclusion,82,1,107,59
inclusion_120.jpg,200,200,inclusion,115,62,132,101
inclusion_120.jpg,200,200,inclusion,119,141,144,200
inclusion_120.jpg,200,200,inclusion,150,128,166,177
inclusion_120.jpg,200,200,inclusion,23,1,56,90
crazing_61.jpg,200,200,crazing,74,103,198,166
crazing_61.jpg,200,200,crazing,28,30,179,95
pitted_surface_52,200,200,pitted_surface,1,1,199,200
scratches_73.jpg,200,200,scratches,165,1,177,185
rolled-in_scale_77.jpg,200,200,rolled-in_scale,91,3,159,49
rolled-in_scale_77.jpg,200,200,rolled-in_scale,57,71,156,198
scratches_153.jpg,200,200,scratches,114,106,127,199
scratches_153.jpg,200,200,scratches,83,108,96,198
pitted_surface_237.jpg,200,200,pitted_surface,22,25,191,197
pitted_surface_237.jpg,200,200,patches,8,2,40,27
pitted_surface_21,200,200,pitted_surface,2,2,198,197
patches_99.jpg,200,200,patches,17,1,94,53
patches_99.jpg,200,200,patches,29,133,79,200
patches_99.jpg,200,200,patches,110,45,165,199
patches_99.jpg,200,200,patches,105,1,156,58
patches_71.jpg,200,200,patches,1,1,37,51
patches_71.jpg,200,200,patches,118,1,159,60
patches_71.jpg,200,200,patches,123,75,199,190
patches_213.jpg,200,200,patches,104,1,165,112
patches_213.jpg,200,200,patches,16,1,65,64
patches_89.jpg,200,200,patches,1,1,19,36
patches_89.jpg,200,200,patches,29,5,70,70
patches_89.jpg,200,200,patches,78,8,146,72
patches_89.jpg,200,200,patches,156,1,198,115
patches_89.jpg,200,200,patches,35,113,125,200
patches_89.jpg,200,200,patches,173,172,200,200
scratches_198.jpg,200,200,scratches,31,48,42,199
scratches_198.jpg,200,200,scratches,108,1,123,200
scratches_198.jpg,200,200,scratches,31,1,44,59
patches_233.jpg,200,200,patches,68,12,169,153
patches_233.jpg,200,200,patches,26,127,111,186
patches_237.jpg,200,200,patches,4,18,73,146
patches_237.jpg,200,200,patches,1,149,74,200
patches_237.jpg,200,200,patches,106,8,177,196
scratches_18.jpg,200,200,scratches,46,22,58,128
crazing_213.jpg,200,200,crazing,26,124,151,198
crazing_213.jpg,200,200,crazing,33,7,157,56
crazing_9.jpg,200,200,crazing,1,24,121,74
crazing_9.jpg,200,200,crazing,130,1,200,83
scratches_227.jpg,200,200,scratches,74,33,100,200
inclusion_33.jpg,200,200,inclusion,66,5,98,196
inclusion_33.jpg,200,200,inclusion,113,4,144,111
inclusion_33.jpg,200,200,inclusion,142,55,167,129
pitted_surface_156.jpg,200,200,pitted_surface,28,2,144,196
pitted_surface_156.jpg,200,200,patches,1,78,36,113
patches_31.jpg,200,200,patches,58,63,130,185
patches_31.jpg,200,200,patches,137,104,189,176
scratches_160.jpg,200,200,scratches,30,1,66,133
scratches_160.jpg,200,200,scratches,71,1,101,105
scratches_160.jpg,200,200,scratches,94,78,113,200
rolled-in_scale_205.jpg,200,200,rolled-in_scale,61,47,132,199
rolled-in_scale_205.jpg,200,200,rolled-in_scale,129,148,199,195
rolled-in_scale_205.jpg,200,200,rolled-in_scale,127,43,181,70
scratches_14.jpg,200,200,scratches,32,15,47,43
scratches_14.jpg,200,200,scratches,111,58,142,153
crazing_3.jpg,200,200,crazing,10,97,200,181
patches_23,200,200,patches,90,1,157,198
patches_155.jpg,200,200,patches,1,1,60,156
patches_155.jpg,200,200,patches,62,1,116,25
patches_155.jpg,200,200,patches,134,1,193,99
patches_155.jpg,200,200,patches,131,136,177,200
patches_155.jpg,200,200,inclusion,75,42,130,120
patches_155.jpg,200,200,inclusion,154,108,182,143
